Ordinal_Position	Table_Catalog	Table_Schema	Table_Name	Column_Name	Is_Nullable	Data_Type	Numeric_Precision	Numeric_Scale
1	def	jgalatti_twilight	myCal_catagory	catagory	NO	varchar		
2	def	jgalatti_twilight	myCal_catagory	color	NO	varchar		
3	def	jgalatti_twilight	myCal_catagory	sortKey	NO	int	10	0
4	def	jgalatti_twilight	myCal_catagory	rowid	NO	int	10	0
1	def	jgalatti_twilight	myCal_events	eventId	NO	int	10	0
2	def	jgalatti_twilight	myCal_events	user	NO	varchar		
3	def	jgalatti_twilight	myCal_events	catagory	NO	varchar		
4	def	jgalatti_twilight	myCal_events	eventDate	NO	date		
5	def	jgalatti_twilight	myCal_events	startTime	NO	time		
6	def	jgalatti_twilight	myCal_events	endTime	NO	time		
7	def	jgalatti_twilight	myCal_events	eventShortDesc	NO	varchar		
8	def	jgalatti_twilight	myCal_events	eventDesc	NO	longtext		
9	def	jgalatti_twilight	myCal_events	fileName	YES	varchar		
10	def	jgalatti_twilight	myCal_events	fileType	YES	varchar		
11	def	jgalatti_twilight	myCal_events	rowid	NO	int	10	0
1	def	jgalatti_twilight	myCal_user	userid	NO	varchar		
2	def	jgalatti_twilight	myCal_user	catagory	NO	varchar		
3	def	jgalatti_twilight	myCal_user	rowid	NO	int	10	0
1	def	jgalatti_twilight	report_main_table	report_name	NO	varchar		
2	def	jgalatti_twilight	report_main_table	base_tables	NO	varchar		
3	def	jgalatti_twilight	report_main_table	where_clause	NO	varchar		
4	def	jgalatti_twilight	report_main_table	order_clause	NO	varchar		
5	def	jgalatti_twilight	report_main_table	xpos	NO	int	10	0
6	def	jgalatti_twilight	report_main_table	ypos	NO	int	10	0
7	def	jgalatti_twilight	report_main_table	size	NO	int	10	0
1	def	jgalatti_twilight	report_table	report_name	NO	varchar		
2	def	jgalatti_twilight	report_table	table_name	NO	varchar		
3	def	jgalatti_twilight	report_table	field_name	NO	varchar		
4	def	jgalatti_twilight	report_table	report_label	YES	varchar		
5	def	jgalatti_twilight	report_table	xpos	NO	int	10	0
6	def	jgalatti_twilight	report_table	ypos	NO	int	10	0
7	def	jgalatti_twilight	report_table	field_pos	NO	int	10	0
8	def	jgalatti_twilight	report_table	display_length	NO	int	10	0
9	def	jgalatti_twilight	report_table	field_type	NO	char		
10	def	jgalatti_twilight	report_table	query_display	NO	char		
11	def	jgalatti_twilight	report_table	upper_lower	NO	varchar		
12	def	jgalatti_twilight	report_table	LABEL_FOREGROUND_COLOR	NO	varchar		
13	def	jgalatti_twilight	report_table	LABEL_BACKGROUND_COLOR	NO	varchar		
14	def	jgalatti_twilight	report_table	TEXT_BACKGROUND_COLOR	NO	varchar		
15	def	jgalatti_twilight	report_table	TEXT_FOREGROUND_COLOR	NO	varchar		
16	def	jgalatti_twilight	report_table	LABEL_FONT	NO	varchar		
17	def	jgalatti_twilight	report_table	LABEL_FONT_SIZE	NO	int	10	0
18	def	jgalatti_twilight	report_table	TEXT_FONT	NO	varchar		
19	def	jgalatti_twilight	report_table	TEXT_FONT_SIZE	NO	int	10	0
20	def	jgalatti_twilight	report_table	READONLY	NO	varchar		
1	def	jgalatti_twilight	seqNo	seqName	NO	varchar		
2	def	jgalatti_twilight	seqNo	seqNo	NO	int	10	0
3	def	jgalatti_twilight	seqNo	rowid	NO	int	10	0
1	def	jgalatti_twilight	session	userid	NO	varchar		
2	def	jgalatti_twilight	session	session_key	NO	int	10	0
3	def	jgalatti_twilight	session	admin	NO	varchar		
4	def	jgalatti_twilight	session	start_time	NO	datetime		
5	def	jgalatti_twilight	session	family_number	NO	varchar		
1	def	jgalatti_twilight	sourceClass	page	NO	varchar		
2	def	jgalatti_twilight	sourceClass	type	NO	varchar		
3	def	jgalatti_twilight	sourceClass	className	NO	varchar		
4	def	jgalatti_twilight	sourceClass	name	NO	varchar		
5	def	jgalatti_twilight	sourceClass	value	NO	varchar		
6	def	jgalatti_twilight	sourceClass	rowid	NO	int	10	0
1	def	jgalatti_twilight	sourceCookie	phpsessid	YES	varchar		
2	def	jgalatti_twilight	sourceCookie	name	NO	varchar		
3	def	jgalatti_twilight	sourceCookie	value	NO	varchar		
4	def	jgalatti_twilight	sourceCookie	dateAdded	NO	datetime		
5	def	jgalatti_twilight	sourceCookie	rowid	NO	int	10	0
1	def	jgalatti_twilight	sourceHold	PageType	NO	varchar		
2	def	jgalatti_twilight	sourceHold	className	YES	varchar		
3	def	jgalatti_twilight	sourceHold	ACTIVE	NO	varchar		
4	def	jgalatti_twilight	sourceHold	dateAddFlag	NO	varchar		
5	def	jgalatti_twilight	sourceHold	rowPos	YES	int	10	0
6	def	jgalatti_twilight	sourceHold	colPos	YES	int	10	0
7	def	jgalatti_twilight	sourceHold	recordKey	NO	int	10	0
8	def	jgalatti_twilight	sourceHold	rowid	NO	int	10	0
1	def	jgalatti_twilight	sourceHoldData	DATEADDED	NO	datetime		
2	def	jgalatti_twilight	sourceHoldData	DESCRIPTION	NO	varchar		
3	def	jgalatti_twilight	sourceHoldData	TYPE	NO	varchar		
4	def	jgalatti_twilight	sourceHoldData	FILENAME	YES	varchar		
5	def	jgalatti_twilight	sourceHoldData	TEXT	YES	varchar		
6	def	jgalatti_twilight	sourceHoldData	ACTIVE	NO	varchar		
7	def	jgalatti_twilight	sourceHoldData	rowid	NO	int	10	0
1	def	jgalatti_twilight	standard	class	YES	varchar		
2	def	jgalatti_twilight	standard	description	NO	varchar		
3	def	jgalatti_twilight	standard	id	YES	varchar		
4	def	jgalatti_twilight	standard	style	YES	varchar		
5	def	jgalatti_twilight	standard	title	YES	varchar		
6	def	jgalatti_twilight	standard	dir	YES	varchar		
7	def	jgalatti_twilight	standard	lang	YES	varchar		
8	def	jgalatti_twilight	standard	tabindex	YES	int	10	0
9	def	jgalatti_twilight	standard	accesskey	YES	varchar		
10	def	jgalatti_twilight	standard	standKey	NO	int	10	0
11	def	jgalatti_twilight	standard	rowid	NO	int	10	0
1	def	jgalatti_twilight	state	state	NO	char		
2	def	jgalatti_twilight	state	description	YES	varchar		
1	def	jgalatti_twilight	statistics	Userid	YES	varchar		
2	def	jgalatti_twilight	statistics	rowid	NO	int	10	0
3	def	jgalatti_twilight	statistics	DisplayName	YES	varchar		
4	def	jgalatti_twilight	statistics	Time	NO	datetime		
5	def	jgalatti_twilight	statistics	IPADDRESS	YES	varchar		
1	def	jgalatti_twilight	survey	family_number	NO	varchar		
2	def	jgalatti_twilight	survey	family_generation	NO	varchar		
3	def	jgalatti_twilight	survey	family_type	NO	char		
4	def	jgalatti_twilight	survey	root	NO	char		
5	def	jgalatti_twilight	survey	survey	NO	varchar		
6	def	jgalatti_twilight	survey	value	NO	varchar		
7	def	jgalatti_twilight	survey	rowid	NO	int	10	0
